Año,Evaluación,Nivel,Grado,UGEL,Gestión,Area,Característica,Ubigeo,Región,Provincia,Distrito,Centro Poblado,Código Modular,Anexo,Nombre de la IE,Sección,Area Academica,Estudiantes programados,Puntaje Promedio,Secciones evaluadas,Cantidad Previo al inicio,Cantidad En inicio,Cantidad En proceso,Cantidad Satisfactorio
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30209,APURÍMAC,ANDAHUAYLAS,PACUCHA,PACUCHA,237909,0,54095,A,Lectura,45,478,1,1,6,10,6
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30213,APURÍMAC,ANDAHUAYLAS,SAN JERÓNIMO,POLTOCSA,238576,0,54162,A,Matemática,15,445,1,3,3,5,4
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30213,APURÍMAC,ANDAHUAYLAS,SAN JERÓNIMO,POLTOCSA,238576,0,54162,A,Lectura,15,463,1,,8,3,4
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30213,APURÍMAC,ANDAHUAYLAS,SAN JERÓNIMO,CHAMPACCOCHA,238600,0,54165,B,Lectura,26,473,1,1,3,5,4
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30213,APURÍMAC,ANDAHUAYLAS,SAN JERÓNIMO,CHAMPACCOCHA,238600,0,54165,A,Lectura,26,497,1,1,2,4,6
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30213,APURÍMAC,ANDAHUAYLAS,SAN JERÓNIMO,CHAMPACCOCHA,238600,0,54165,B,Matemática,26,563,1,2,1,4,6
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30213,APURÍMAC,ANDAHUAYLAS,SAN JERÓNIMO,CHAMPACCOCHA,238600,0,54165,A,Matemática,26,545,1,,1,5,7
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30216,APURÍMAC,ANDAHUAYLAS,TALAVERA,TALAVERA,283309,0,54178,C,Lectura,72,444,1,2,10,5,3
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30216,APURÍMAC,ANDAHUAYLAS,TALAVERA,TALAVERA,283309,0,54178,C,Matemática,72,450,1,6,3,8,3
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30216,APURÍMAC,ANDAHUAYLAS,TALAVERA,TALAVERA,283309,0,54178,A,Lectura,72,504,1,,2,17,8
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30216,APURÍMAC,ANDAHUAYLAS,TALAVERA,TALAVERA,283309,0,54178,A,Matemática,72,511,1,,1,15,11
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30216,APURÍMAC,ANDAHUAYLAS,TALAVERA,TALAVERA,283309,0,54178,B,Matemática,72,526,1,,6,5,14
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30216,APURÍMAC,ANDAHUAYLAS,TALAVERA,TALAVERA,283309,0,54178,B,Lectura,72,544,1,,2,7,16
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30216,APURÍMAC,ANDAHUAYLAS,TALAVERA,CHIHUAMPATA,283325,0,54180,A,Lectura,17,439,1,1,9,5,2
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30216,APURÍMAC,ANDAHUAYLAS,TALAVERA,CHIHUAMPATA,283325,0,54180,A,Matemática,17,410,1,5,6,3,3
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,URIPA,283341,0,54182,E,Lectura,125,430,1,2,12,6,1
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,URIPA,283341,0,54182,E,Matemática,125,404,1,9,3,7,2
